artist,song,signified,signifier,line
Archie Eversole,Everything is Alright,jumpin,hydrolics right over your head,Jumpin like hydrolics right over your head
Jadakiss,Death Wish,bitch,Russian Roulette bitch,"Yeah, that's a bet bitch like Russian Roulette bitch"
Lil Wayne,Dipset 2,riders,Al Qaeda,"With Santana, we well riders, like Al Qaeda"
Chris Webby,Do My Thang,hill,"an ant , top speed accelerate","Climb that hill like an ant, top speed accelerate"
Chris Webby,Do My Thang,game,the banker,I run the game like the banker in Monopoly
Pitbull,Mentirosa,crossin,tic tac toe,I'm crossin these mammas like tic tac toe
Pitbull,Mentirosa,tities,girls,Show a nigga some tities like girls gone wild
Biz Markie,D.P.,name,a god - Alexis,Got a name like a god - Alexis
Busta Rhymes,All Night,niggas,a fucking drug test,And quiz niggas like a fucking drug test y'all
The Coup,The Shipment,green,Kermit,If you want green like Kermit keep it heated like a Thermos
Busta Rhymes,World Go Round,okay,the last broad to the show stay,"Like the last broad to the show stay, okay?"
2Pac,Life of an Outlaw,scandalous,a tramp,"But I'm rappin' low down, scandalous like a tramp is"
The Firm,Im Leaving,bust,a loosey,"Salute G, bust you down like a loosey"
50/50 Twin,Hollyhood,roy,Young Jeezy,"Lester Roy on fire, like Young Jeezy"
DOM KENNEDY,1997,head,a kufi,But that just might have went over yo head like a kufi
Childish Gambino,Phat People,things,chicken wings,"I like little things, like chicken wings"
Childish Gambino,Phat People,green,a bowl of okra,I got that green like a bowl of okra
Childish Gambino,Phat People,fat,an Orca whale,My style is kind of fat like an Orca whale
50 Cent,Power of the Dollar,experience,Lox,I'm livin' off experience like Lox; I'm hot
Beanie Sigel,Purple Rain,some,the mizzix,"ProMeth with the Tuss', some like the mizzix"
Beanie Sigel,Purple Rain,sweet,licorice,"Cause it's so sweet like licorice, plus it's good for your sickness"
Beanie Sigel,Purple Rain,experience,Jimi Hendrix,"The ultimate, experience, like Jimi Hendrix"
Ludacris,We Got,bitches,earl,I'm pulling pistols out my stomach and throwing them bitches up like earl
Ludacris,We Got,choppers,heli - copters,And I'm waving choppers like heli-copters
Ludacris,We Got,guns,action flicks,"Us you don't mess with, we got them guns like action flicks"
Ludacris,We Got,horns,Texas bitch,"Put a bullet in (in) shoot it out, got them long horns like Texas bitch"
Ludacris,We Got,rocky,Sylvester Stallone,My wrist rocky like Sylvester Stallone
Joe Budden,Dumb Out,spread,cancer,See I remember shit spread like cancer
Afu-Ra,Defeat,assassinate,toxic waste,Lyrical assassinate like toxic waste
Afu-Ra,Defeat,stun,stunguns,"Stun like stunguns; son, I hit your Fulcrum"
Assholes By Nature,Whos the Man,step,Mike Epps,It ain't gon' step till Next Friday like Mike Epps
Assholes By Nature,Whos the Man,pumpin,the dope in the projects,I have her ass pumpin like the dope in the projects
Assholes By Nature,Whos the Man,me,Atlanta,H - Town need me like Atlanta need Jeezy
Assholes By Nature,Whos the Man,money,Baby and Lil,Holdin young money like Baby and Lil' Weezy
The Coup,The Name Game,hundreds,quarters,"And the cellular phones, spending hundreds like quarters"
Big Pun,How We Roll 98,known,Al Capone,"You know I'm well known like Al Capone, fully blown like Ton' Montana"
Big Pun,How We Roll 98,leather,Fonzarelli,Lookin fat in Marc and Pelle leather like Fonzarelli
Big Pun,How We Roll 98,infinite,math,"I'm infinite like math, so I'm gonna last"
Cali Swag District,Teach Me How to Dougie Remix,green,"Bill Bexby ,","Get green like Bill Bexby, damn I mean Bixby"
Cali Swag District,Teach Me How to Dougie Remix,dirty,Dianna,Well basically she got it down and dirty like Dianna
Cali Swag District,Teach Me How to Dougie Remix,body,Serena,"Big ole ass, body like Serena"
Cali Swag District,Teach Me How to Dougie Remix,something,a necklace,"Something like a necklace, shout-out to Dallas, Texas"
AcHoZeN,DEUCES,ice,the polar cap,"Like your colon cap, ice like the polar cap"
RUSSELL!,Moment For Life,canada,Blue Jays and Bublé,Reppin Canada like Blue Jays and Bublé.. uhh
Mac Miller,Kool Aid  Frozen Pizza,rapper,moi,Ain't ever seen a young rapper like moi
The 7A3,Thats How Were Livin,staggerin,moonshine,Hit your heart and leave you staggerin like moonshine
Wale,Nike Boots,odds,luggage,"Pessimistic we are, carry odds like luggage"
Goodie Mob,Greeny Green,pure,Artesian water,She'll tell ya I'm pure like Artesian water
Goodie Mob,Greeny Green,rhymes,rocks,"I sell rhymes like rocks, the police oughta stop checkin"
Tyga,Get Big,trick,Swayze,"Burner, yea I Pack-trick like Swayze"
Canibus,Only Slaves D.R.E.A.M.,timeless,the Great Wall of China,My shit is timeless like the Great Wall of China
The Beatnuts,U Dont Want It,ghanga,Jamaicans,I blaze ghanga like Jamaicans in Kingston
The Beatnuts,U Dont Want It,guns,Jesse,Blowin guns like Jesse
Above the Law,Uncle Sams Curse,suckers,craps,"Yeah, they're shakin' suckers like craps"
Above the Law,Uncle Sams Curse,flowin,the wind,We y'all off the hook and we're flowin' like the wind
Big Tymers,Top of Tha Line Nigga,sick,a drop,Make niggas sick like a drop
Big Tymers,Top of Tha Line Nigga,what,my smile,What like my smile
Big Tymers,Top of Tha Line Nigga,bust,a bottle I m all wet,"You see I ""bloop"" bust like a bottle I'm all wet"
Blue Scholars,Joe Metro,something,"beer , barf , and dung","Smelling something like beer, barf, and dung"
Aesop Rock,Food Clothes Medicine,dusty,the road to death,The curmudgeon's gun dusty like the road to death
Apathy,The Smackdown,those,afros,"Fast or slow, pick apart those like afros"
Apathy,The Smackdown,fuck,retarded group sex,You're a dumb fuck like retarded group sex
Apathy,The Smackdown,worthy,James,Cause you're not Worthy like James without the Laker jersey
Wiz Khalifa,Studio Lovin,flat,A Piano,Lay You Flat Like A Piano
Akon,Bananza Belly Dancer,ass,that girl,"An ass like that girl, you gotta be kickin'"
Big L,Deadly Combination,boy,The Notorious B.I.G,"A Bad Boy, just like The Notorious B.I.G"
Big L,Deadly Combination,fella,Shawn Carter,"A Rock-A-Fella, like Shawn Carter"
Aceyalone,Headaches and Woes,rappers,me gon,And rappers like me gon' rule the earth
Ras Kass,Nature of the Threat,game,a motherfucker,(Yo! Man got game like a motherfucker)
Busta Rhymes,Abandon Ship,motherfuckers,a horse,I be saddleback riding motherfuckers like a horse
Busta Rhymes,Abandon Ship,open,Vicks,Now we got you open like Vicks
Busta Rhymes,Abandon Ship,unit,the Poison Clan,Organized rhyme unit like the Poison Clan
Busta Rhymes,Abandon Ship,fool,my nigga Geechie Dan,Breakin' fool in school like my nigga Geechie Dan
All City,The Actual,jaws,"rottweilers , duck tapin  your mouth","We lock jaws like rottweilers, duck tapin' your mouth"
All City,The Actual,tiger,Asics,"Lace you quick with the basic wit, Tiger like Asics"
Afroman,Whack Rappers,rappin,Mike Tyson or something,He be rappin' like Mike Tyson or something
Afroman,Whack Rappers,talks,50 Cent,{Talks like 50 Cent}
Chamillionaire,Not a Criminal,talk,a interlude,Y'all really all just be talk like a interlude
2Pac,Tha Lunatic,title,Doug - las,"It's suicidal, you lose your title like Doug-las"
2Pac,Tha Lunatic,icin,Tyson,"'Cause I'm nothin' nice and, I'm icin' like Tyson"
2Pac,Tha Lunatic,bitches,a motherfuckin  condom,Bitches on my dick like a motherfuckin' condom
2Pac,Tha Lunatic,broke,a window,"But we can be friends though, after you get broke like a window"
2Pac,Tha Lunatic,lookin,a bitch,"Lookin' like a bitch, 'cause your whole fuckin' posse broke out"
Wale,The Manipulation Pt. 2,pussy,some water hose and Imma,"Hey that pussy like some water hose and I'mma need to cum first, yeah her turn be optional"
3rd Bass,Kick Em in the Grill,pain,the foot to groins,"Pain, like the foot to groins"
3rd Bass,Kick Em in the Grill,scale,a fence,"Scale like a fence, put you in the past tense"
3rd Bass,Kick Em in the Grill,low,a buddhist sniffin,Low like a buddhist sniffin ? tree
2Pac,Never Call U B Again,rich,a king,My plan and scheme's to be rich like a king
Lupe Fiasco,Pressure,boxer,a boxer s,'Cause it sag so low you can see boxer—like a boxer's
Tha Alkaholiks,The Next Level Remix,name,Dick Butt - kiss,You got a bad name like Dick Butt-kiss
Apache,Woodchuck,cunt,a Bounty,I hunt cunt like a Bounty I'm the quicker picker upper
Apache,Woodchuck,taxin,the government,"Take my dick and I'm far shovin it, taxin like the government"
Funkmaster Flex,Rush,criminal,Eminem,Criminal like Eminem don't act feminine
Funkmaster Flex,Rush,ball,Wimbledon trucks cinnamon,Ball like Wimbledon trucks like cinnamon
Funkmaster Flex,Rush,queen,Hollis,"Chick about them dollars, be a queen like Hollis"
GodAWFUL,Reset Button,feelin,a runaway train,Feelin like a runaway train they couldn't stop
50/50 Twin,Check Out Time,vibrate,a vibrator,"Vibrate like a vibrator, you vibrant thang"
50/50 Twin,Check Out Time,lips,LL,"Don't lick my lips like LL, but mami good as hell"
Pharoahe Monch,Simon Says,game,Tomb Raider,"I'm soon to motivate a room, control the game like Tomb Raider"
Pharoahe Monch,Simon Says,tips,a waiter,"Rock, clock dollars, flip tips like a waiter"
Pharoahe Monch,Simon Says,wicked,Exorcist,"Wicked like Exorcist, this is the joint"
Jeezy,Standing Ovation,talks,Charlie Sheen ( ay,I tell 'em money talks like Charlie Sheen (ay)
Jeezy,Standing Ovation,juice,the magazine ( jeah,"I'm a boss, I got Juice like the magazine (jeah)"
Jeezy,Standing Ovation,feds,a magazine ( ha ha,And everyday I see Feds like a magazine (ha ha)
Lil Wayne,Da Da Da,backstroke,Michael Phelps,"Backstroke, backstroke, like Michael Phelps with my backstroke"
Lil Wayne,Da Da Da,sweet,Honey Dew honey,Ain't she sweet like Honey Dew honey
50 Cent,Many Men Wish Death,somethin',Ali,"I'm the greatest, somethin' like Ali in his prime"
Binary Star,Slang Blade,fans,wisdom from folklores,"Like wisdom from folklores, my fans from tours"
Binary Star,Slang Blade,rush,a drug bust,We bum rush like a drug bust
2Pac,Hail Mary,free,the bird in the tree,Free like the bird in the tree
Wale,The MC,birds,a road rager,I swear my mans flippin' birds like a road rager
Wale,The MC,hoes,a Sega,"Im no angel, my hoes like a Sega"
Big Shug,Street Champ,duck,Howard,"Youse a coward, a silly Duck like Howard"
Jadakiss,Put Your Hands Up,bucks,Milwaukee,"That I'mma get Bucks like Milwaukee, cause like Sam, I ca' sell"
Jadakiss,Put Your Hands Up,cannon,Kodak,In the streets I flash the cannon like Kodak
Sage Francis,Different,different,a platypus,Different like a platypus
Grandmaster Melle Mel,White Lines Dont Do It,something,a phenomenon,(Something like a phenomenon) Baby!
Kid Ink,Lowkey Poppin,popping,a bottom lock,Know we got it lowkey popping like a bottom lock
Black Market Militia,Dead Street Scrolls,novels,Claude Brown,I write novels like Claude Brown
Junior M.A.F.I.A.,Gettin Money Get Money Remix,love,Wimbledon,"She hitting me and him and him, much love like Wimbledon"
Black Eyed Peas,Simple Little Melody,technological,"AutoBot , AutoBot","Love ain't technological like AutoBot, AutoBot"
Black Eyed Peas,Simple Little Melody,robotic,"AutoBot , AutoBot","Love ain't robotic like AutoBot, AutoBot"
Black Eyed Peas,Simple Little Melody,complicated,rithmetic,"Love ain't complicated like arithmetic, 'rithmetic"
Black Eyed Peas,Simple Little Melody,simple,"A - B - C , A - B - C","Love is really simple just like A-B-C, A-B-C"
Black Eyed Peas,Simple Little Melody,complicated,"arithmetic , rithmetic","Love ain't complicated like arithmetic, rithmetic"
King Los,Turnt Up,white,Blink 182,"Diamond bezel face, my band all white like Blink 182"
King Los,Turnt Up,shit,war mode,"They don't want me in battle mode, my shit more like war mode"
Peanut Butter Wolf,In Your Area,part,a barber,I [place/plays] my part just like a barber
Peanut Butter Wolf,In Your Area,static,blocks,"Static like blocks, get gatted, chopped"
2Pac,Young Black Male,male,an erection,"Hard like an erection, young Black male"
2Pac,Young Black Male,brothers,covers on books,They judging us brothers like covers on books
2Pac,Young Black Male,smell,that nigga over there,Skunk smell like that nigga over there mama
Young Money,New Shit,gifted,the honor roll,Ugh! Flow gifted like the honor roll
Young Money,New Shit,beat,soul food,"Eating this beat up like soul food, you niggas old news"
Young Money,New Shit,blind,Mr. Ray,"Sometimes, I wish that I was blind like Mr. Ray"
Young Money,New Shit,beat,Anna Mae,Give me the beat and I'ma beat the beat like Anna Mae
Junior M.A.F.I.A.,Oh My Lord,broke,speed limits ( uhh,Why try mimic? MC's get broke like speed limits (uhh)
Junior M.A.F.I.A.,Oh My Lord,moves,the settlers,Junior M.A.F.I.A. clique moves in like the settlers
Junior M.A.F.I.A.,Oh My Lord,flavor,Tropicana,"Flavor like Tropicana; orange, mango, peach"
Junior M.A.F.I.A.,Oh My Lord,cute,prostitutes,"Haircut cute, on tops and garters like prostitutes"
Ambokire Junior Salimu,Hooka Hooka,party,a down south party cus we party the best ( huhuhuh,It ain't no party like a down south party cus we party the best (huhuhuh)
Ambokire Junior Salimu,Hooka Hooka,bounce,Yatti,Bounce like Yatti
Showbiz & A.G.,The Struggle,scheme,your enemy,"Scheme on your fall, like your enemy"
AMG,Word 2 Tha D,hoes,a trumpet,"And I play thess hoes like a trumpet, bend 'em over, bump it"
Lil Wayne,BM J.R.,gravel,ground dawg,You play hard and I’m gravel like ground dawg
Lil Wayne,BM J.R.,corner,Ripken nigga,"I ain't trippin' nigga, I play the corner like Ripken nigga"
Lil Wayne,BM J.R.,bandanas,bananas,The Sig peel bandanas like bananas
Big Daddy Kane,Brother Brother,thumbs,the Fonz,You got ta give me thumbs up just like the Fonz
Big Daddy Kane,Brother Brother,type,a bunion,"The type of guy that grows on ya, just like a bunion"
Common,Making a Name for Ourselves,troops,Joseph Stalin,Rallying troops like Joseph Stalin
Common,Making a Name for Ourselves,styles,fossils of pterodactyls,Niggas be digging my styles like fossils of pterodactyls
Common,Making a Name for Ourselves,poetry,a picture,"When poetry's in motion, like a picture, I'm the main feature"
Common,Making a Name for Ourselves,aluminum,the T2,"You know how we do, liquid aluminum like the T2"
AZ,Cant Stop,hot,veal,But still blocks is hot like veal
Diabolic,My Turn,p,Vanna White,Cause I get G's when I flip P's like Vanna White
Big Tuck,U Need It,feet,alley cats,"Stomp feet like alley cats, be on guard for all attacks"
Big Tuck,U Need It,frauds,bleachers,"They gon have to get jumped like teachers, step on you frauds like bleachers"
Bizarre,What What,warm,a reptile,Guarantee to get your girl warm like a reptile
Big Ed,My Entourage,wars,Castro,Startin wars like Castro
Big Ed,My Entourage,cry,a pissy baby,"If you're a bitch, you gon cry like a pissy baby"
Xian,Excerpt,cute,a bunny,Thought she’d think it was funny and cute like a bunny
J. Cole,Losing My Balance,makeup,a mask,"Your makeup like a mask, tryna hide yourself"
J. Cole,Losing My Balance,od,Len Bias,And you just let 'em OD like Len Bias
Childish Gambino,Its On,blew,tick,"Blew up in 0-10 like tick, tick boom"
Childish Gambino,Its On,shit,gay penises,"My music goes hard, bang shit like gay penises"
Big Tymers,Tear It Up,sick,a * choghs,"No, I hit make 'em sick like a *choghs* bad cold"
Big Tymers,Tear It Up,bitch,Mia,I ask a bitch like Mia
Young Gunz,Sun Dont Shine,'s,birth control,And bitches pop Van X's like birth control
Ali Jones,Beast,jumpin,the G Money,"Jumpin' like the G Money, gimme my money"
Beanie Sigel,Mans World,young,Calogero,"Only the soldiers roll, you young like Calogero"
Plies,You,nobody,me baby,"Ain't nobody like me baby, I'm my competition"
Lupe Fiasco,Tilted,car,"cannonball ,","Car like cannonball, run!"
Lupe Fiasco,Tilted,f,Neo,"F, F I to the A S C O, flyin' like Neo"
Lupe Fiasco,Tilted,violence,Nero,But I can bring the violence like Nero
Bizzy Bone,So What Cha Sayin,trickle,"hourglass , who ready to ride","Time trickle like hourglass, who ready to ride?"
Bizzy Bone,So What Cha Sayin,salty,Sodom watchin Gamorra,"Salty like Sodom watchin Gamorra, check yo' almanac"
Clipse,We Got It for Cheap Intro,rap,child s play,"Rap's like child's play, my show and tell"
Clipse,We Got It for Cheap Intro,puppets,a yo - yo,Puppets on the string like a yo-yo
DMX,Blackout,respect,Sonny from Bronx Tale,L-O-X get respect like Sonny from Bronx Tale
Analog Brothers,Perms Baldheads Afros  Dreads,perfect,that O.G. pimp style,"Curl rap, gleem shine, perfect like that O.G. pimp style"
Madvillain,Fancy Clown,poison,BBD first cassette,My boys warned me you was poison like BBD first cassette
F.L.Y. (Fast Life Yungstaz),Swag Surfin,clean,dish detergent,I'm clean like dish detergent
F.L.Y. (Fast Life Yungstaz),Swag Surfin,strong,a fan,"Swag super cool, blowing strong like a fan"
F.L.Y. (Fast Life Yungstaz),Swag Surfin,something,an Eddie Bauer,"Purp' got me geeked, smoking something like an Eddie Bauer"
F.L.Y. (Fast Life Yungstaz),Swag Surfin,shots,a camera,"Gon' on Patron, taking shots like a camera"
F.L.Y. (Fast Life Yungstaz),Swag Surfin,clean,dish detergent with a Tide color swag,Clean just like dish detergent with a Tide color swag
Ant Banks,2 The Head,shit,pumps in the trunks,Mad cause my shit like pumps in the trunks
Akon,Tired of Runnin,fiends,these people,Serving fiends like these people ain't no enemy
The Notorious B.I.G.,Youre Nobody Til Somebody Kills You,dirty,cleats,"Hope you creeps got receipts, my peeps get dirty like cleats"
Big Pun,Twinz Deep Cover 98,towns,rounds in the chamber,We lock towns like rounds in the chamber
Big Pun,Twinz Deep Cover 98,major,Nine,"Boogie Down major like Nine, I bust mine every time"
Beanie Sigel & Freeway,Roc the Mic,slide,a avalanche,Slide through your hood like a avalanche
Beanie Sigel & Freeway,Roc the Mic,cribs,Left Eye,I firebomb cribs like Left Eye did
Beanie Sigel & Freeway,Roc the Mic,wrong,tryna brawl or strong - arm a midget ( Ugh,"""Dead Wrong,"" like tryna brawl or strong-arm a midget (Ugh)"
Beanie Sigel & Freeway,Roc the Mic,yay,caskets,Move yay' like caskets
Bloods,Crippin Aint Easy,gun,a hunter,Gun him down like a hunter cause it's Slob season
Big Pun,Caribbean Connection,green,flowers in Spring,Surrounded in green like flowers in Spring
Bad Azz,We Be Puttin It Down,bitch,this bitch,Ain't no bitch like this bitch I got
Bad Azz,We Be Puttin It Down,rich,Bill Gates,"And get real papes, rich like Bill Gates"
Fabolous,Im Raw,bananas,a monkey number - two,"My shit bananas, like a monkey number-two (That's the shit)"
Fabolous,Im Raw,money,A - Rod s next to bat,"Big money on deck, like A-Rod's next to bat"
Fabolous,Im Raw,deal,a contract from Bad Boy,I’m a big deal like a contract from Bad Boy
Biz Markie,Throw Back,jettas,the Audi,"Like the Audi, 280 Z's, 98's and Jettas"
Big Daddy Kane,How U Get a Record Deal?,floatin,"a butterfly , stingin  a bee","Floatin' like a butterfly, stingin' like a bee"
Big Daddy Kane,How U Get a Record Deal?,lyrics,a firing range,The way I shoot off lyrics like a firing range
Slim Thug,Thug,dressed,a thug,They say I can't get in cause I'm dressed like a thug
Brotha Lynch Hung,Feel My Nature Rize,invasions,Asian,Home invasions like Asian got me obsessed like a Vietnam vet
Brotha Lynch Hung,Feel My Nature Rize,open,pinata,Split your ass open like pinata
Brotha Lynch Hung,Feel My Nature Rize,some,a lot of fluid,"Pure dank sniffer, some like a lot of fluid, but I beg to differ"
Brotha Lynch Hung,Feel My Nature Rize,guts,Sizziline,Fry your guts like Sizziline
Brotha Lynch Hung,Feel My Nature Rize,niggas,a pit bull with rabies,"Cuz I done lost it, taggin' niggas like a pit bull with rabies"
Brotha Lynch Hung,Feel My Nature Rize,creepin,doin,"Creepin' up on you, like doin' my Magnum P.I"
Big Ed,Get it On,bust,a flare,"I keep my gat in the club, and bust like a flare"
